Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5618899078,0.5879326265,0.5984052708,0.6119504009,0.6300290618,0.6652840819,0.6841707441,0.7090437231,0.7086082571,0.7498900538,0.762643802,0.7636196458,0.7740148131,0.7815835242,0.8263391418,0.8505635689,0.8952750813,0.9694426034,1.009588447,1.087144313,1.131311067,1.179342717,1.257015668,1.278156798,1.370497838,1.37095835,1.393033962,1.453867478,1.516961077,1.478649886,1.337791484,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7777428872,0.7738510342,0.7679629001,0.7512570686,0.7329717392,0.756765515,0.7875609722,0.7931514573,0.7801454624,0.7419275178,0.7428660432,0.7878277644,0.7703120044,0.7936637417,0.8164171325,0.7990866974,0.7766631945,0.7760762152,0.8041467897,0.7555614291,0.7867584995,0.7639610946,0.7716608464,0.7905316576,0.8028724367,0.7639838897,0.7543443944,0.7439301975,0.7408796265,0.7433592412,0.6608761728,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7775509611,0.7736235934,0.7677392397,0.7510174665,0.7327051808,0.756516195,0.7872659563,0.7928026996,0.7797802427,0.7415472172,0.7425182268,0.7874508466,0.7699052729,0.7932829811,0.815993983,0.7986750519,0.7762529358,0.7756582703,0.8037291905,0.7551146638,0.7863344124,0.7635835227,0.7712782113,0.7901744952,0.8024818269,0.7635591157,0.753867414,0.7434607442,0.7403938556,0.7428931224,0.6604126329,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7777428872,0.7738510342,0.7679629001,0.7512570686,0.7329717392,0.756765515,0.7875609722,0.7931514573,0.7801454624,0.7419275178,0.7428660432,0.7878277644,0.7703120044,0.7936637417,0.8164171325,0.7990866974,0.7766631945,0.7760762152,0.8041467897,0.7555614291,0.7867584995,0.7639610946,0.7716608464,0.7905316576,0.8028724367,0.7639838897,0.7543443944,0.7439301975,0.7408796265,0.7433592412,0.6608761728,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.090486539,3.092312602,3.067611552,3.071418009,3.017162791,3.130518499,3.116704866,3.110897024,3.12433917,3.055905213,3.167140886,3.243556127,3.347641763,3.646680369,3.955406019,4.246087066,4.524939703,4.770829501,4.86797795,4.944131035,5.315663058,5.673918008,5.764481643,5.885587659,5.857718499,5.735859454,5.687044777,5.773007721,5.947017462,6.012487382,5.923959874,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.020867687,3.983342889,3.910310291,3.87498525,3.842027309,3.893876264,3.919585121,3.935278691,3.907460918,3.881441811,3.951660425,3.958088692,3.961470273,4.090081614,4.223794234,4.329790027,4.417134594,4.528275107,4.503795413,4.391450538,4.604869382,4.68946885,4.685377082,4.719665779,4.682408225,4.601683731,4.558579231,4.57838089,4.642145296,4.582572771,4.292269191,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Afghanistan,AFG,0,0,0,0,0,0,0,260.357,348.365,0,216.353,440.04,300.694,333.697,399.703,476.71,300.694,513.38,300.694,385.035,187.017,304.361,396.036,616.056,931.418,1191.775,1202.776,392.369,440.04,480.377,403.37,388.702,363.033,352.032,337.364,322.696,308.028,282.359,264.024,242.022,223.687,209.019,546.383,465.709,227.354,330.03,330.03,308.028,297.027,271.358,271.358,308.028,308.028,297.027,271.358,282.359,319.029,319.029,319.029,319.029,319.029,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Albania,ALB,84.341,84.341,84.341,84.341,84.341,84.341,102.676,128.345,146.68,168.682,187.017,242.022,278.692,366.7,429.039,553.717,671.061,700.397,678.395,707.731,773.737,806.74,865.412,975.422,1045.095,971.755,1052.429,451.041,355.699,447.374,465.709,275.025,198.018,157.681,99.009,51.338,44.004,36.67,33.003,29.336,22.002,14.668,25.669,25.669,33.003,22.002,22.002,33.003,14.668,18.335,25.669,29.336,29.336,33.003,58.672,62.339,161.348,161.348,161.348,161.348,161.348,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Algeria,DZA,0,451.041,689.396,605.055,1191.775,1778.495,1851.835,1793.163,1884.838,2478.892,135.679,674.728,3138.952,3149.953,2453.223,4462.739,6068.885,3608.328,23875.837,8173.743,25500.318,11173.349,7176.319,16622.511,30535.109,27722.52,33113.01,40149.983,39005.879,36703.003,38939.873,38459.496,31957.905,36127.284,37418.068,47260.296,50608.267,39038.882,54685.971,50963.966,39742.946,41063.066,44689.729,44062.672,41242.749,61260.902,49346.819,51117.98,51591.023,54938.994,53409.855,56768.827,64168.833,65503.621,73893.717,78833.166,78741.491,78741.491,78741.491,78741.491,78741.491,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Angola,AGO,0,0,0,0,0,0,0,0,0,0,84.341,84.341,110.01,124.678,132.012,124.678,110.01,135.679,135.679,135.679,146.68,172.349,172.349,198.018,220.02,220.02,245.689,297.027,300.694,319.029,1012.092,1085.432,1067.097,1048.762,971.755,1048.762,1048.762,1067.097,1085.432,1048.762,1085.432,990.09,1158.772,1217.444,1441.131,1250.447,1305.452,1595.145,1272.449,1290.784,1371.458,1404.461,1422.796,766.403,579.386,1441.131,1496.136,1496.136,1496.136,1496.136,1496.136,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Argentina,ARG,2365.215,4033.7,5111.798,5834.197,6472.255,7253.326,7854.714,8214.08,9149.165,9112.495,10289.602,11030.336,12478.801,14198.624,14935.691,15735.097,16479.498,16919.538,16439.161,18030.639,19581.78,20502.197,23267.115,26285.056,27322.817,28833.621,30989.817,36728.672,42265.842,44645.725,43248.598,47322.635,48342.061,40839.379,42713.216,53237.506,57590.235,61554.262,61664.272,67674.485,69493.317,64861.896,62669.03,69126.617,82980.543,82034.457,83937.63,87248.931,90193.532,88066.672,86999.575,92661.423,95459.344,90835.257,96691.456,98359.941,102268.963,102268.963,102268.963,102268.963,102268.963,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3479.983,1507.137,1617.147,2618.238,2042.519,2680.577,2794.254,2277.207,2566.9,2614.571,2005.849,2229.536,2475.225,3065.612,3142.619,3762.342,4125.375,3171.955,2955.602,3758.675,4569.082,4422.402,4459.072,3773.343,4191.381,4191.381,4191.381,4191.381,4191.381,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Australia,AUS,0,0,3.667,7.334,7.334,7.334,7.334,7.334,11.001,487.711,2757.584,4103.373,5848.865,6490.59,7715.368,8375.428,9266.509,11059.672,13813.589,15298.724,17685.941,20377.519,22548.383,22808.74,24070.188,30172.076,28114.889,28994.969,29710.034,30370.094,33875.746,31719.55,32848.986,34180.107,35712.913,38345.819,38496.166,38767.524,40344.334,42049.489,44147.013,46519.562,49134.133,46985.271,47080.613,43453.95,52951.48,60696.184,65488.953,67172.106,65136.921,68525.229,65430.281,69313.634,72606.6,73809.376,79122.859,79122.859,79122.859,79122.859,79122.859,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Austria,AUT,2922.599,3091.281,3241.628,3380.974,3523.987,3424.978,3674.334,3520.32,3747.674,4675.425,5676.516,6563.93,7088.311,7627.36,8280.086,8115.071,9270.176,9424.19,9809.225,9768.888,9292.178,8826.469,8551.444,8690.79,9728.551,10410.613,9255.508,9640.543,9237.173,10058.581,11994.757,12680.486,12449.465,13131.527,13505.561,14748.674,15698.427,15130.042,15529.745,15801.103,15082.371,15984.453,15911.113,17176.228,17590.599,18518.35,17337.576,16336.485,17297.239,16879.201,18602.691,17557.596,16780.192,16171.47,14759.675,15749.765,16450.162,16450.162,16450.162,16450.162,16450.162,..,..
